NAME,totalPop,whitePop,state,county,tract,block group,whitePercep,nonwhitePercep
"Block Group 2, Census Tract 279.01, Philadelphia County, Pennsylvania",1730,65,42,101,027901,2,0.03757225433526012,0.9624277456647399
"Block Group 2, Census Tract 279.02, Philadelphia County, Pennsylvania",2352,1207,42,101,027902,2,0.5131802721088435,0.48681972789115646
"Block Group 1, Census Tract 117, Philadelphia County, Pennsylvania",1820,949,42,101,011700,1,0.5214285714285715,0.47857142857142854
"Block Group 1, Census Tract 7, Philadelphia County, Pennsylvania",607,502,42,101,000700,1,0.8270181219110379,0.17298187808896215
"Block Group 3, Census Tract 331.02, Philadelphia County, Pennsylvania",739,650,42,101,033102,3,0.8795669824086604,0.12043301759133962
"Block Group 2, Census Tract 280, Philadelphia County, Pennsylvania",878,0,42,101,028000,2,0.0,1.0
"Block Group 4, Census Tract 280, Philadelphia County, Pennsylvania",1137,6,42,101,028000,4,0.005277044854881266,0.9947229551451188
"Block Group 1, Census Tract 4.02, Philadelphia County, Pennsylvania",1124,1061,42,101,000402,1,0.943950177935943,0.05604982206405695
"Block Group 2, Census Tract 276, Philadelphia County, Pennsylvania",544,0,42,101,027600,2,0.0,1.0
"Block Group 1, Census Tract 276, Philadelphia County, Pennsylvania",1267,0,42,101,027600,1,0.0,1.0
"Block Group 1, Census Tract 104, Philadelphia County, Pennsylvania",921,76,42,101,010400,1,0.08251900108577633,0.9174809989142236
"Block Group 2, Census Tract 132, Philadelphia County, Pennsylvania",1540,113,42,101,013200,2,0.07337662337662337,0.9266233766233767
"Block Group 2, Census Tract 170, Philadelphia County, Pennsylvania",647,0,42,101,017000,2,0.0,1.0
"Block Group 2, Census Tract 237, Philadelphia County, Pennsylvania",1516,426,42,101,023700,2,0.28100263852242746,0.7189973614775725
"Block Group 4, Census Tract 83.02, Philadelphia County, Pennsylvania",944,2,42,101,008302,4,0.00211864406779661,0.9978813559322034
"Block Group 2, Census Tract 145, Philadelphia County, Pennsylvania",861,69,42,101,014500,2,0.08013937282229965,0.9198606271777003
"Block Group 1, Census Tract 9802, Philadelphia County, Pennsylvania",479,383,42,101,980200,1,0.7995824634655533,0.20041753653444672
"Block Group 4, Census Tract 249, Philadelphia County, Pennsylvania",627,14,42,101,024900,4,0.022328548644338118,0.9776714513556619
"Block Group 1, Census Tract 258, Philadelphia County, Pennsylvania",1693,32,42,101,025800,1,0.018901358535144713,0.9810986414648553
"Block Group 4, Census Tract 265, Philadelphia County, Pennsylvania",497,33,42,101,026500,4,0.06639839034205232,0.9336016096579477
"Block Group 5, Census Tract 31, Philadelphia County, Pennsylvania",1046,94,42,101,003100,5,0.08986615678776291,0.9101338432122371
"Block Group 6, Census Tract 32, Philadelphia County, Pennsylvania",1152,234,42,101,003200,6,0.203125,0.796875
"Block Group 5, Census Tract 32, Philadelphia County, Pennsylvania",353,28,42,101,003200,5,0.07932011331444759,0.9206798866855525
"Block Group 1, Census Tract 40.01, Philadelphia County, Pennsylvania",1409,1215,42,101,004001,1,0.8623136976579134,0.13768630234208656
"Block Group 3, Census Tract 62, Philadelphia County, Pennsylvania",808,49,42,101,006200,3,0.06064356435643564,0.9393564356435644
"Block Group 2, Census Tract 125, Philadelphia County, Pennsylvania",2838,2390,42,101,012500,2,0.8421423537702607,0.1578576462297393
"Block Group 2, Census Tract 21, Philadelphia County, Pennsylvania",1626,485,42,101,002100,2,0.2982779827798278,0.7017220172201721
"Block Group 5, Census Tract 247, Philadelphia County, Pennsylvania",737,109,42,101,024700,5,0.14789687924016282,0.8521031207598372
"Block Group 3, Census Tract 38, Philadelphia County, Pennsylvania",913,868,42,101,003800,3,0.9507119386637459,0.049288061336254074
"Block Group 1, Census Tract 210, Philadelphia County, Pennsylvania",880,758,42,101,021000,1,0.8613636363636363,0.13863636363636367
"Block Group 3, Census Tract 210, Philadelphia County, Pennsylvania",1027,1013,42,101,021000,3,0.9863680623174295,0.013631937682570539
"Block Group 3, Census Tract 305.01, Philadelphia County, Pennsylvania",2161,426,42,101,030501,3,0.19713095788986582,0.8028690421101342
"Block Group 1, Census Tract 305.02, Philadelphia County, Pennsylvania",1414,211,42,101,030502,1,0.1492220650636492,0.8507779349363508
"Block Group 5, Census Tract 305.02, Philadelphia County, Pennsylvania",852,449,42,101,030502,5,0.5269953051643192,0.47300469483568075
"Block Group 1, Census Tract 98.02, Philadelphia County, Pennsylvania",1350,182,42,101,009802,1,0.1348148148148148,0.8651851851851852
"Block Group 1, Census Tract 180.01, Philadelphia County, Pennsylvania",764,721,42,101,018001,1,0.943717277486911,0.05628272251308897
"Block Group 1, Census Tract 190, Philadelphia County, Pennsylvania",1592,579,42,101,019000,1,0.3636934673366834,0.6363065326633166
"Block Group 1, Census Tract 62, Philadelphia County, Pennsylvania",1223,20,42,101,006200,1,0.016353229762878167,0.9836467702371219
"Block Group 2, Census Tract 72, Philadelphia County, Pennsylvania",757,0,42,101,007200,2,0.0,1.0
"Block Group 4, Census Tract 72, Philadelphia County, Pennsylvania",949,35,42,101,007200,4,0.0368809272918862,0.9631190727081138
"Block Group 5, Census Tract 190, Philadelphia County, Pennsylvania",1589,576,42,101,019000,5,0.36249213341724357,0.6375078665827565
"Block Group 1, Census Tract 215, Philadelphia County, Pennsylvania",971,942,42,101,021500,1,0.9701338825952626,0.029866117404737436
"Block Group 1, Census Tract 216, Philadelphia County, Pennsylvania",812,753,42,101,021600,1,0.9273399014778325,0.07266009852216748
"Block Group 1, Census Tract 288, Philadelphia County, Pennsylvania",1753,529,42,101,028800,1,0.3017683970336566,0.6982316029663433
"Block Group 4, Census Tract 298, Philadelphia County, Pennsylvania",1162,633,42,101,029800,4,0.544750430292599,0.45524956970740105
"Block Group 5, Census Tract 298, Philadelphia County, Pennsylvania",758,203,42,101,029800,5,0.2678100263852243,0.7321899736147757
"Block Group 1, Census Tract 153, Philadelphia County, Pennsylvania",1066,687,42,101,015300,1,0.6444652908067542,0.3555347091932458
"Block Group 2, Census Tract 157, Philadelphia County, Pennsylvania",958,454,42,101,015700,2,0.47390396659707723,0.5260960334029228
"Block Group 2, Census Tract 160, Philadelphia County, Pennsylvania",919,885,42,101,016000,2,0.9630032644178455,0.03699673558215455
"Block Group 7, Census Tract 160, Philadelphia County, Pennsylvania",949,777,42,101,016000,7,0.8187565858798735,0.18124341412012646
"Block Group 2, Census Tract 165, Philadelphia County, Pennsylvania",628,86,42,101,016500,2,0.13694267515923567,0.8630573248407644
"Block Group 4, Census Tract 363.03, Philadelphia County, Pennsylvania",1265,1243,42,101,036303,4,0.9826086956521739,0.017391304347826098
"Block Group 1, Census Tract 366, Philadelphia County, Pennsylvania",1867,1289,42,101,036600,1,0.690412426352437,0.30958757364756295
"Block Group 2, Census Tract 299, Philadelphia County, Pennsylvania",852,313,42,101,029900,2,0.3673708920187793,0.6326291079812207
"Block Group 5, Census Tract 277, Philadelphia County, Pennsylvania",618,1,42,101,027700,5,0.0016181229773462784,0.9983818770226537
"Block Group 3, Census Tract 140, Philadelphia County, Pennsylvania",1080,314,42,101,014000,3,0.29074074074074074,0.7092592592592593
"Block Group 1, Census Tract 141, Philadelphia County, Pennsylvania",1323,440,42,101,014100,1,0.3325774754346183,0.6674225245653818
"Block Group 3, Census Tract 144, Philadelphia County, Pennsylvania",1047,456,42,101,014400,3,0.4355300859598854,0.5644699140401146
"Block Group 4, Census Tract 152, Philadelphia County, Pennsylvania",2179,70,42,101,015200,4,0.03212482790270767,0.9678751720972923
"Block Group 2, Census Tract 152, Philadelphia County, Pennsylvania",1090,0,42,101,015200,2,0.0,1.0
"Block Group 5, Census Tract 60, Philadelphia County, Pennsylvania",826,0,42,101,006000,5,0.0,1.0
"Block Group 2, Census Tract 111, Philadelphia County, Pennsylvania",590,40,42,101,011100,2,0.06779661016949153,0.9322033898305084
"Block Group 3, Census Tract 321, Philadelphia County, Pennsylvania",1399,731,42,101,032100,3,0.5225160829163689,0.47748391708363114
"Block Group 4, Census Tract 214, Philadelphia County, Pennsylvania",1079,1013,42,101,021400,4,0.9388322520852641,0.06116774791473589
"Block Group 3, Census Tract 349, Philadelphia County, Pennsylvania",898,819,42,101,034900,3,0.9120267260579065,0.08797327394209353
"Block Group 4, Census Tract 306, Philadelphia County, Pennsylvania",1285,124,42,101,030600,4,0.09649805447470818,0.9035019455252918
"Block Group 3, Census Tract 168, Philadelphia County, Pennsylvania",896,84,42,101,016800,3,0.09375,0.90625
"Block Group 6, Census Tract 168, Philadelphia County, Pennsylvania",830,0,42,101,016800,6,0.0,1.0
"Block Group 5, Census Tract 306, Philadelphia County, Pennsylvania",623,147,42,101,030600,5,0.23595505617977527,0.7640449438202247
"Block Group 1, Census Tract 316, Philadelphia County, Pennsylvania",704,279,42,101,031600,1,0.3963068181818182,0.6036931818181819
"Block Group 2, Census Tract 316, Philadelphia County, Pennsylvania",769,373,42,101,031600,2,0.4850455136540962,0.5149544863459038
"Block Group 3, Census Tract 178, Philadelphia County, Pennsylvania",561,232,42,101,017800,3,0.41354723707664887,0.5864527629233511
"Block Group 3, Census Tract 263.02, Philadelphia County, Pennsylvania",799,62,42,101,026302,3,0.07759699624530664,0.9224030037546933
"Block Group 1, Census Tract 264, Philadelphia County, Pennsylvania",752,0,42,101,026400,1,0.0,1.0
"Block Group 5, Census Tract 264, Philadelphia County, Pennsylvania",1096,0,42,101,026400,5,0.0,1.0
"Block Group 1, Census Tract 271, Philadelphia County, Pennsylvania",829,70,42,101,027100,1,0.08443908323281062,0.9155609167671894
"Block Group 1, Census Tract 15, Philadelphia County, Pennsylvania",1008,788,42,101,001500,1,0.7817460317460317,0.21825396825396826
"Block Group 2, Census Tract 267, Philadelphia County, Pennsylvania",666,13,42,101,026700,2,0.01951951951951952,0.9804804804804805
"Block Group 3, Census Tract 267, Philadelphia County, Pennsylvania",1112,0,42,101,026700,3,0.0,1.0
"Block Group 1, Census Tract 267, Philadelphia County, Pennsylvania",725,0,42,101,026700,1,0.0,1.0
"Block Group 3, Census Tract 286, Philadelphia County, Pennsylvania",638,65,42,101,028600,3,0.10188087774294671,0.8981191222570533
"Block Group 6, Census Tract 286, Philadelphia County, Pennsylvania",1777,280,42,101,028600,6,0.15756893640967923,0.8424310635903207
"Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",1826,1278,42,101,000100,2,0.6998904709748083,0.3001095290251917
"Block Group 2, Census Tract 13, Philadelphia County, Pennsylvania",1209,834,42,101,001300,2,0.6898263027295285,0.3101736972704715
"Block Group 1, Census Tract 333, Philadelphia County, Pennsylvania",1718,1408,42,101,033300,1,0.819557625145518,0.180442374854482
"Block Group 5, Census Tract 336, Philadelphia County, Pennsylvania",1656,1447,42,101,033600,5,0.873792270531401,0.12620772946859904
"Block Group 4, Census Tract 336, Philadelphia County, Pennsylvania",1263,980,42,101,033600,4,0.7759303246239113,0.22406967537608868
"Block Group 2, Census Tract 122.04, Philadelphia County, Pennsylvania",1541,321,42,101,012204,2,0.20830629461388708,0.791693705386113
"Block Group 3, Census Tract 136.02, Philadelphia County, Pennsylvania",1160,587,42,101,013602,3,0.5060344827586207,0.49396551724137927
"Block Group 2, Census Tract 345.01, Philadelphia County, Pennsylvania",1622,1257,42,101,034501,2,0.7749691738594328,0.22503082614056724
"Block Group 3, Census Tract 283, Philadelphia County, Pennsylvania",422,4,42,101,028300,3,0.009478672985781991,0.990521327014218
"Block Group 1, Census Tract 240, Philadelphia County, Pennsylvania",1591,830,42,101,024000,1,0.5216844751728472,0.4783155248271528
"Block Group 1, Census Tract 281, Philadelphia County, Pennsylvania",1662,128,42,101,028100,1,0.07701564380264742,0.9229843561973525
"Block Group 7, Census Tract 283, Philadelphia County, Pennsylvania",694,0,42,101,028300,7,0.0,1.0
"Block Group 2, Census Tract 213, Philadelphia County, Pennsylvania",890,740,42,101,021300,2,0.8314606741573034,0.1685393258426966
"Block Group 3, Census Tract 213, Philadelphia County, Pennsylvania",730,670,42,101,021300,3,0.9178082191780822,0.0821917808219178
"Block Group 2, Census Tract 217, Philadelphia County, Pennsylvania",1542,1298,42,101,021700,2,0.8417639429312581,0.1582360570687419
"Block Group 6, Census Tract 84, Philadelphia County, Pennsylvania",645,0,42,101,008400,6,0.0,1.0
